Symbol,Name,Market,SecuGroup,Kind,ListingDate,DelistingDate,Reason,ArrantEnforceDate,ArrantEndDate,Industry,ParValue,ListingShares,ToSymbol,ToName
004200,고려개발,KOSPI,주권,보통주,1978-10-30,2020-07-21,해산 사유 발생,,,건설,5000.0,15219444.0,,
002300,한국제지,KOSPI,주권,보통주,1971-06-23,2020-07-13,해산 사유 발생,,,종이·목재,5000.0,5004949.0,,
005450,신한,KOSPI,주권,보통주,1978-07-28,2020-06-30,감사의견 의견거절 2년 계속,2020-06-19,2020-06-29,건설,5000.0,7022839.0,,
103130,웅진에너지,KOSPI,주권,보통주,2010-06-30,2020-06-01,감사의견 의견거절 2년 계속,2020-05-21,2020-05-29,전기·전자,5000.0,30947322.0,,
027390,한화갤러리아타임월드,KOSPI,주권,보통주,1996-01-30,2020-04-16,지주회사(최대주주등)의 완전자회사화 등,,,유통,5000.0,6000131.0,,
001799,대한제당3우B,KOSPI,주권,신형우선주,2010-04-09,2020-04-08,존속기간 만료,,,음식료·담배,2500.0,129656.0,001790,대한제당
011160,두산건설,KOSPI,주권,보통주,1996-01-30,2020-03-24,지주회사(최대주주등)의 완전자회사화 등,,,건설,500.0,329897110.0,,
079440,오렌지라이프,KOSPI,주권,보통주,2017-05-11,2020-02-14,지주회사(최대주주등)의 완전자회사화 등,,,보험,1000.0,82000000.0,,
015540,에코바이브,KOSPI,주권,보통주,1989-09-02,2023-11-07,감사의견 의견거절 2년 계속,2023-10-27,2023-11-06,일반서비스,500.0,62556871.0,,
010050,우리종금,KOSPI,주권,보통주,1974-09-11,2023-08-28,지주회사(최대주주등)의 완전자회사화 등,,,기타금융,500.0,874203406.0,,
000995,DB하이텍1우,KOSPI,주권,구형우선주,2007-05-21,2023-07-17,종류주식 상장주식수 미달 2반기 계속,,,전기·전자,5000.0,112316.0,000990,DB하이텍
001745,SK네트웍스우,KOSPI,주권,구형우선주,1989-12-21,2023-07-17,종류주식 상장주식수 미달 2반기 계속,,,유통,2500.0,113648.0,001740,SK네트웍스
010145,삼성중공우,KOSPI,주권,구형우선주,1994-11-22,2023-07-17,종류주식 상장주식수 미달 2반기 계속,,,운송장비·부품,1000.0,114845.0,010140,삼성중공업
004565,현대비앤지스틸우,KOSPI,주권,구형우선주,1989-08-31,2023-07-17,종류주식 상장주식수 미달 2반기 계속,,,금속,5000.0,109852.0,004560,현대비앤지스틸
000547,흥국화재2우B,KOSPI,주권,신형우선주,1999-08-09,2023-07-17,종류주식 상장주식수 미달 2반기 계속,,,보험,5000.0,153600.0,000540,흥국화재
008560,메리츠증권,KOSPI,주권,보통주,1992-01-15,2023-04-25,지주회사(최대주주등)의 완전자회사화 등,,,증권,1000.0,593180579.0,,
000060,메리츠화재,KOSPI,주권,보통주,1956-07-02,2023-02-21,지주회사(최대주주등)의 완전자회사화 등,,,보험,500.0,104535112.0,,
002270,롯데푸드,KOSPI,주권,보통주,1973-05-09,2022-07-20,해산 사유 발생,,,음식료·담배,5000.0,1209055.0,,
016385,KG스틸우,KOSPI,주권,구형우선주,1989-09-21,2022-07-15,종류주식 상장주식수 미달 2반기 계속,,,금속,5000.0,53385.0,016380,KG스틸
001529,동양3우B,KOSPI,주권,신형우선주,2007-08-03,2022-07-15,종류주식 상장주식수 미달 2반기 계속,,,비금속,500.0,89722.0,001520,동양
009275,신원우,KOSPI,주권,구형우선주,1989-03-07,2022-07-15,종류주식 상장주식수 미달 2반기 계속,,,섬유·의류,500.0,90740.0,009270,신원
138250,엔에스쇼핑,KOSPI,주권,보통주,2015-03-27,2022-03-22,지주회사(최대주주등)의 완전자회사화 등,,,유통,500.0,33696000.0,,
007630,폴루스바이오팜,KOSPI,주권,보통주,1988-10-24,2022-02-22,감사의견 의견거절 2년 계속,2022-02-11,2022-02-21,유통,500.0,45007695.0,,
101060,SBS미디어홀딩스,KOSPI,주권,보통주,2008-03-24,2022-01-18,해산 사유 발생,,,일반서비스,500.0,139896190.0,,
015350,부산가스,KOSPI,주권,보통주,1997-06-23,2022-01-18,지주회사(최대주주등)의 완전자회사화 등,,,전기·가스,5000.0,11000000.0,,
010620,HD현대미포,KOSPI,주권,보통주,1983-12-20,2025-12-15,해산 사유 발생,,,운송장비·부품,5000.0,39942149.0,,
102280,쌍방울,KOSPI,주권,보통주,2008-06-10,2025-11-28,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",2025-11-19,2025-11-27,섬유·의류,100.0,26259210.0,,
006390,한일현대시멘트,KOSPI,주권,보통주,1975-12-26,2025-11-21,해산 사유 발생,,,비금속,5000.0,19327672.0,,
091090,세원이앤씨,KOSPI,주권,보통주,2006-07-31,2025-10-27,감사의견 의견거절 2년 계속,2025-10-16,2025-10-24,금속,500.0,52754723.0,,
005390,신성통상,KOSPI,주권,보통주,1975-12-22,2025-09-30,신청에 의한 상장폐지,2025-09-19,2025-09-29,유통,500.0,143708390.0,,
010420,한솔PNS,KOSPI,주권,보통주,1989-05-31,2025-09-25,지주회사(최대주주등)의 완전자회사화 등,,,유통,500.0,20493012.0,,
093230,이아이디,KOSPI,주권,보통주,2007-11-01,2025-09-11,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",2025-09-02,2025-09-10,유통,200.0,254384360.0,,
000075,삼양홀딩스우,KOSPI,주권,구형우선주,1992-02-21,2025-08-20,존속기간 만료,,,기타금융,5000.0,150894.0,000070,삼양홀딩스
049770,동원F&B,KOSPI,주권,보통주,2000-11-23,2025-07-31,지주회사(최대주주등)의 완전자회사화 등,,,음식료·담배,1000.0,19295620.0,,
000885,한화우,KOSPI,주권,구형우선주,1990-01-22,2025-07-15,종류주식 상장주식수 미달 2반기 계속,,,화학,5000.0,199033.0,000880,한화
012600,청호ICT,KOSPI,주권,보통주,1990-07-10,2025-05-27,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",2025-05-16,2025-05-26,기계·장비,500.0,46634517.0,,
034300,신세계건설,KOSPI,주권,보통주,2002-06-17,2025-02-24,지주회사(최대주주등)의 완전자회사화 등,,,건설,5000.0,7760554.0,,
115390,락앤락,KOSPI,주권,보통주,2010-01-28,2024-12-09,지주회사(최대주주등)의 완전자회사화 등,,,화학,500.0,43326411.0,,
282690,동아타이어,KOSPI,주권,보통주,2017-11-29,2024-10-08,해산 사유 발생,,,화학,500.0,13733015.0,,
003410,쌍용C&E,KOSPI,주권,보통주,1975-05-03,2024-07-09,지주회사(최대주주등)의 완전자회사화 등,,,비금속,100.0,443786866.0,,
030790,비케이탑스,KOSPI,주권,보통주,2010-11-02,2024-05-13,감사의견 의견거절 2년 계속,2024-04-30,2024-05-10,일반서비스,500.0,21248145.0,,
001725,신영증권우,KOSPI,주권,구형우선주,1988-08-16,2024-04-26,존속기간 만료,,,증권,5000.0,7005468.0,001720,신영증권
001880,DL건설,KOSPI,주권,보통주,1977-12-22,2024-03-04,지주회사(최대주주등)의 완전자회사화 등,,,건설,5000.0,22053284.0,,
068400,SK렌터카,KOSPI,주권,보통주,2012-07-27,2024-01-31,지주회사(최대주주등)의 완전자회사화 등,,,일반서비스,500.0,46323542.0,,
380440,엔에이치스팩19호,KOSPI,주권,보통주,2021-05-21,2024-01-02,SPAC 상장예비심사청구서 미제출 등,2023-12-19,2023-12-28,기타금융,500.0,10258000.0,,
031440,신세계푸드,KOSPI,주권,보통주,2010-04-29,2026-08-11,지주회사(최대주주등)의 완전자회사화 등,,,일반서비스,5000.0,3872480.0,,
057050,현대홈쇼핑,KOSPI,주권,보통주,2010-09-13,2026-07-20,지주회사(최대주주등)의 완전자회사화 등,,,유통,5000.0,12000000.0,,
012510,더존비즈온,KOSPI,주권,보통주,1988-10-28,2026-07-15,지주회사(최대주주등)의 완전자회사화 등,,,IT 서비스,500.0,29123883.0,,
008500,일정실업,KOSPI,주권,보통주,1994-08-12,2026-06-30,시가총액 미달,2026-06-19,2026-06-29,섬유·의류,1000.0,6000000.0,,
138490,코오롱ENP,KOSPI,주권,보통주,2011-06-15,2026-04-16,해산 사유 발생,,,화학,1000.0,38000000.0,,
008110,대동전자,KOSPI,주권,보통주,1990-06-05,2026-03-30,감사범위제한으로인한 감사의견한정 2년 계속,2026-03-19,2026-03-27,전기·전자,500.0,10490447.0,,
019440,세아특수강,KOSPI,주권,보통주,2011-06-01,2026-02-12,지주회사(최대주주등)의 완전자회사화 등,,,금속,5000.0,8570000.0,,
001140,국보,KOSPI,주권,보통주,1989-12-02,2026-01-27,감사의견 의견거절 2년 계속,2026-01-16,2026-01-26,운송·창고,500.0,15856388.0,,
042670,HD현대인프라코어,KOSPI,주권,보통주,2001-02-02,2026-01-26,해산 사유 발생,,,기계·장비,1000.0,188851238.0,,
010600,웰바이오텍,KOSPI,주권,보통주,1997-07-18,2026-01-26,감사의견 의견거절 2년 계속,2026-01-15,2026-01-23,유통,500.0,90923407.0,,
003560,IHQ,KOSPI,주권,보통주,1973-12-18,2026-01-15,감사의견 의견거절 2년 계속,2026-01-06,2026-01-14,오락·문화,500.0,7083730.0,,
033180,KH 필룩스,KOSPI,주권,보통주,2001-12-26,2026-01-15,감사의견 의견거절 2년 계속,2026-01-06,2026-01-14,전기·전자,100.0,26020020.0,,
450140,코오롱모빌리티그룹,KOSPI,주권,보통주,2023-01-31,2026-01-07,지주회사(최대주주등)의 완전자회사화 등,,,유통,500.0,62777250.0,,
45014K,코오롱모빌리티그룹우,KOSPI,주권,종류주권,2023-01-31,2026-01-07,지주회사(최대주주등)의 완전자회사화 등,,,유통,500.0,2456120.0,,
